language,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
Sami,0,0,0,0,0,0.0010141987829614604,0,0,0,0,0,0,0,0,0,0,0,0,9.823182711198428e-4,0,0,0,0,0,0,0,9.407337723424271e-4
Sardinian,0.0010224948875255625,0,0,0,0,0,0,0,0,0,0.0020060180541624875,0,0,0,0,0,0,0,9.823182711198428e-4,0,0,0,0,0,0,0,0
Serbian/Bosnian/Montenegrin,0,0,0,0.0010214504596527069,0.0019723865877712033,0,0.0010351966873706005,0,0,0.0010319917440660474,0.022066198595787363,0,0,0.00101010101010101,0,0.017964071856287425,0,0,0,0.00857449088960343,0,0,0,0.03403403403403404,0,0.002,0.0018814675446848542
Slovak,0.0010224948875255625,0,0.008130081300813009,0,0.0013149243918474688,0.0010141987829614604,0.006211180124223602,0,0,0,0.0020060180541624875,0,0,0,0,0,0,0,0,0.0021436227224008574,0,0,0,0.001001001001001001,0.8623115577889447,0,0
Slovenian,0,0,0,0,0.0013149243918474688,0,0.0010351966873706005,0,0,0,0.0010030090270812437,0.0029354207436399216,0,0,0,0,0,0,0,0.0021436227224008574,0,0,0,0.9309309309309309,0.003015075376884422,0,0
Spanish,0.010224948875255624,0,0,0,0.005259697567389875,0,0.012422360248447204,0,0.8370221327967807,0.009287925696594427,0,0.004892367906066536,0,0,0,0.02594810379241517,0,0,0.0019646365422396855,0.004287245444801715,0,0.0019723865877712033,9.823182711198428e-4,0.002002002002002002,0.0020100502512562816,0,0.011288805268109126
Swedish,0,0,0,0.0040858018386108275,0,0,0,0,0,0,0.0010030090270812437,9.784735812133072e-4,0,0,0,0,0,0.00196078431372549,0.0019646365422396855,0.0010718113612004287,0,9.861932938856016e-4,0,0,0,0.033,0.940733772342427
Turkish,0.002044989775051125,0.08438409311348205,0,0,0.015779092702169626,0.0010141987829614604,0.0010351966873706005,0.015090543259557344,0,0.0020639834881320948,0.0010030090270812437,0,0,0,0,0,9.9601593625498e-4,0,0.0019646365422396855,0.01822079314040729,0,0,0,0,0,0,0
Ukrainian,0.0010224948875255625,0,0.0010162601626016261,0,0.0019723865877712033,0.0030425963488843813,0,0,0.001006036217303823,0.0010319917440660474,0.0010030090270812437,0,0,0.0030303030303030303,0,0,0,0,0,0,0.0010121457489878543,9.861932938856016e-4,0,0,0.0010050251256281408,0,0.0028222013170272815
Yiddish,0.0010224948875255625,0,0,0,0,0,0.0010351966873706005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
